county,voters,ballots,yes,no,turnout
Adams,258272,177945,98112,74650,172762,68.90
Alamosa,10013,6837,3718,2874,6592,68.28
Arapahoe,384522,288033,149724,129468,279192,74.91
Archuleta,10179,6805,3592,2846,6438,66.85
Baca,2963,2139,757,1295,2052,72.19
Bent,2827,1971,950,955,1905,69.72
Boulder,249004,180712,116384,58774,175158,72.57
Broomfield,42897,32503,17092,15072,32164,75.77
Chaffee,13624,10569,5634,4656,10290,77.58
Cheyenne,1468,1112,386,698,1084,75.75
Clear Creek,7977,5682,3653,2027,5680,71.23
Conejos,5571,4125,1807,2184,3991,74.04
Costilla,2717,1900,1066,686,1752,69.93
Crowley,2220,1528,657,823,1480,68.83
Custer,3548,2736,1211,1459,2670,77.11
Delta,21012,15866,6940,8679,15619,75.51
Denver,483405,306884,186671,94714,281385,63.48
Dolores,1671,1230,536,651,1187,73.61
Douglas,214228,166055,75407,88454,163861,77.51
Eagle,33519,22844,14603,7307,21910,68.15
El Paso,426335,292697,141696,141686,283382,68.65
Elbert,18814,14274,6418,7564,13982,75.87
Fremont,32361,20619,9813,10311,20124,63.72
Garfield,35276,24599,13633,10299,23932,69.73
Gilpin,5090,3373,2137,1157,3294,66.27
Grand,12109,8140,4738,3306,8044,67.22
Gunnison,13463,8663,5811,2727,8538,64.35
Hinsdale,740,614,290,309,599,82.97
Huerfano,5052,3766,2035,1527,3562,74.54
Jackson,1257,862,383,455,838,68.58
Jefferson,414411,313662,164903,139159,304062,75.69
Kiowa,1073,840,257,547,804,78.29
Kit Carson,5134,3569,1387,2221,3608,69.52
La Plata,41515,29416,17705,10800,28505,70.86
Lake,4937,3092,1818,1219,3037,62.63
Larimer,241082,179079,98164,77837,176001,74.28
Las Animas,10297,6983,3501,3106,6607,67.82
Lincoln,3263,2311,862,1385,2247,70.82
Logan,12317,9246,3936,5075,9011,75.07
Mesa,107001,73575,33735,38061,71796,68.76
Mineral,837,674,338,305,643,80.53
Moffat,9461,6113,2888,3173,6061,64.61
Montezuma,19436,12480,5933,6161,12094,64.21
Montrose,27345,20012,8553,11037,19590,73.18
Morgan,15426,10925,4559,6088,10647,70.82
Otero,12410,8310,3692,4330,8022,66.96
Ouray,4392,3238,1947,1215,3162,73.72
Park,13026,9462,5397,3847,9244,72.64
Phillips,3148,2284,817,1382,2199,72.55
Pitkin,14920,9933,7303,2377,9680,66.58
Prowers,7334,4940,1953,2826,4779,67.36
Pueblo,114848,77671,41742,33357,75099,67.63
Rio Blanco,4723,3352,1338,1937,3275,70.97
Rio Grande,7929,5619,2685,2736,5421,70.87
Routt,18945,13420,8272,4826,13098,70.84
Saguache,4314,2984,1858,991,2849,69.17
San Juan,660,523,328,174,502,79.24
San Miguel,6625,4281,3295,866,4161,64.62
Sedgwick,1684,1365,522,797,1319,81.06
Summit,25485,15199,10439,4588,15027,59.64
Teller,19931,13522,6814,6349,13163,67.84
Washington,3307,2623,991,1563,2554,79.32
Weld,162282,114355,57648,56129,113777,70.47
Yuma,6376,4578,1706,2817,4523,71.80
