County,Yes,No,Total,Registered Voters,Ballots Cast,Turnout
Adams,98112,74650,172762,258272,177945,0.689
Alamosa,3718,2874,6592,10013,6837,0.683
Arapahoe,149724,129468,279192,384522,288033,0.749
Archuleta,3592,2846,6438,10179,6805,0.669
Baca,757,1295,2052,2963,2139,0.722
Bent,950,955,1905,2827,1971,0.697
Boulder,116384,58774,175158,249004,180712,0.726
Broomfield,17092,15072,32164,42897,32503,0.758
Chaffee,5634,4656,10290,13624,10569,0.776
Cheyenne,386,698,1084,1468,1112,0.758
Clear Creek,3653,2027,5680,7977,5682,0.712
Conejos,1807,2184,3991,5571,4125,0.740
Costilla,1066,686,1752,2717,1900,0.699
Crowley,657,823,1480,2220,1528,0.688
Custer,1211,1459,2670,3548,2736,0.771
Delta,6940,8679,15619,21012,15866,0.755
Denver,186671,94714,281385,483405,306884,0.635
Dolores,536,651,1187,1671,1230,0.736
Douglas,75407,88454,163861,214228,166055,0.775
Eagle,14603,7307,21910,33519,22844,0.682
El Paso,141696,141686,283382,426335,292697,0.687
Elbert,6418,7564,13982,18814,14274,0.759
Fremont,9813,10311,20124,32361,20619,0.637
Garfield,13633,10299,23932,35276,24599,0.697
Gilpin,2137,1157,3294,5090,3373,0.663
Grand,4738,3306,8044,12109,8140,0.672
Gunnison,5811,2727,8538,13463,8663,0.644
Hinsdale,290,309,599,740,614,0.830
Huerfano,2035,1527,3562,5052,3766,0.745
Jackson,383,455,838,1257,862,0.686
Jefferson,164903,139159,304062,414411,313662,0.757
Kiowa,257,547,804,1073,840,0.783
Kit Carson,1387,2221,3608,5134,3569,0.695
La Plata,17705,10800,28505,41515,29416,0.709
Lake,1818,1219,3037,4937,3092,0.626
Larimer,98164,77837,176001,241082,179079,0.743
Las Animas,3501,3106,6607,10297,6983,0.678
Lincoln,862,1385,2247,3263,2311,0.708
Logan,3936,5075,9011,12317,9246,0.751
Mesa,33735,38061,71796,107001,73575,0.688
Mineral,338,305,643,837,674,0.805
Moffat,2888,3173,6061,9461,6113,0.646
Montezuma,5933,6161,12094,19436,12480,0.642
Montrose,8553,11037,19590,27345,20012,0.732
Morgan,4559,6088,10647,15426,10925,0.708
Otero,3692,4330,8022,12410,8310,0.670
Ouray,1947,1215,3162,4392,3238,0.737
Park,5397,3847,9244,13026,9462,0.726
Phillips,817,1382,2199,3148,2284,0.726
Pitkin,7303,2377,9680,14920,9933,0.666
Prowers,1953,2826,4779,7334,4940,0.674
Pueblo,41742,33357,75099,114848,77671,0.676
Rio Blanco,1338,1937,3275,4723,3352,0.710
Rio Grande,2685,2736,5421,7929,5619,0.709
Routt,8272,4826,13098,18945,13420,0.708
Saguache,1858,991,2849,4314,2984,0.692
San Juan,328,174,502,660,523,0.792
San Miguel,3295,866,4161,6625,4281,0.646
Sedgwick,522,797,1319,1684,1365,0.811
Summit,10439,4588,15027,25485,15199,0.596
Teller,6814,6349,13163,19931,13522,0.678
Washington,991,1563,2554,3307,2623,0.793
Weld,57648,56129,113777,162282,114355,0.705
Yuma,1706,2817,4523,6376,4578,0.718
Total,1383140,1116894,2500034,3648008,2584719,0.709
