




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Adams                         255137                        82941                         32.51%
Alamosa                       9254                          4321                          46.69%
Arapahoe                      378278                        140438                        37.13%
Archuleta                     10116                         3983                          39.37%
Baca                          2829                          1708                          60.37%
Bent                          2793                          1336                          47.83%
Boulder                       245743                        105017                        42.73%
Broomfield                    42456                         20916                         49.27%
Chaffee                       13224                         7332                          55.44%
Cheyenne                      1411                          959                           67.97%
Clear Creek                   7882                          3981                          50.51%
Conejos                       5547                          2587                          46.64%
Costilla                      2755                          1179                          42.79%
Crowley                       2024                          989                           48.86%
Custer                        3350                          2135                          63.73%
Delta                         21054                         10171                         48.31%
Denver                        454687                        141141                        31.04%
Dolores                       1691                          747                           44.18%
Douglas                       217300                        107334                        49.39%
Eagle                         32547                         12525                         38.48%
El Paso                       413924                        151321                        36.56%
Elbert                        18153                         9234                          50.87%
Fremont                       27850                         13923                         49.99%
Garfield                      32766                         13710                         41.84%
Gilpin                        5009                          1936                          38.65%
Grand                         12067                         5265                          43.63%
Gunnison                      11733                         4898                          41.75%
Hinsdale                      718                           403                           56.13%
Huerfano                      4921                          2467                          50.13%
Jackson                       1105                          597                           54.03%
Jefferson                     412954                        178265                        43.17%
Kiowa                         1018                          643                           63.16%
Kit Carson                    5018                          2709                          53.99%
La Plata                      41541                         15019                         36.15%
Lake                          5002                          1722                          34.43%
Larimer                       227969                        100579                        44.12%
Las Animas                    10100                         4960                          49.11%
Lincoln                       3073                          1876                          61.05%
Logan                         12316                         6432                          52.22%
Mesa                          107582                        42450                         39.46%
Mineral                       867                           611                           70.47%
Moffat                        9457                          3993                          42.22%
Montezuma                     19660                         7201                          36.63%
Montrose                      25850                         11878                         45.95%
Morgan                        15378                         7365                          47.89%
Otero                         11536                         5342                          46.31%
Ouray                         4240                          2144                          50.57%
Park                          13212                         5933                          44.91%
Phillips                      3191                          1825                          57.19%
Pitkin                        14915                         4865                          32.62%
Prowers                       6914                          3108                          44.95%
Pueblo                        110778                        44780                         40.42%
Rio Blanco                    4395                          2153                          48.99%
Rio Grande                    7730                          3253                          42.08%
Routt                         18474                         7351                          39.79%
Saguache                      4220                          1812                          42.94%
San Juan                      665                           352                           52.93%
San Miguel                    6543                          2586                          39.52%
Sedgwick                      1661                          1046                          62.97%
Summit                        26031                         7520                          28.89%
Teller                        17433                         7822                          44.87%
Washington                    3304                          1976                          59.81%
Weld                          164473                        65463                         39.80%
Yuma                          6377                          3440                          53.94%
Total:                        3562201                       1413968                       39.69%

                                                                                                                                                       AMENDMENT 66 (CONSTITUTIONAL)
                                                            Yes/For                                                                                                                                               No/Against                                                                                                                                            
County                        Registered Voters             Polling Place                 Mail-in Ballot                Early Voting                  Provisional                   Choice Total                  Polling Place                 Mail-in Ballot                Early Voting                  Provisional                   Choice Total                  Total                         
Adams                         0                             29011                         0                             0                             0                             29011                         53237                         0                             0                             0                             53237                         82248                         
Alamosa                       0                             1644                          0                             0                             0                             1644                          2605                          0                             0                             0                             2605                          4249                          
Arapahoe                      0                             48310                         0                             0                             0                             48310                         91063                         0                             0                             0                             91063                         139373                        
Archuleta                     0                             1010                          0                             0                             0                             1010                          2917                          0                             0                             0                             2917                          3927                          
Baca                          0                             475                           0                             0                             0                             475                           1035                          0                             0                             0                             1035                          1510                          
Bent                          0                             469                           0                             0                             0                             469                           861                           0                             0                             0                             861                           1330                          
Boulder                       0                             55213                         0                             0                             0                             55213                         48093                         0                             0                             0                             48093                         103306                        
Broomfield                    0                             7925                          0                             0                             0                             7925                          12448                         0                             0                             0                             12448                         20373                         
Chaffee                       0                             2171                          0                             0                             0                             2171                          5111                          0                             0                             0                             5111                          7282                          
Cheyenne                      0                             131                           0                             0                             0                             131                           819                           0                             0                             0                             819                           950                           
Clear Creek                   0                             1130                          0                             0                             0                             1130                          2385                          0                             0                             0                             2385                          3515                          
Conejos                       0                             971                           0                             0                             0                             971                           1580                          0                             0                             0                             1580                          2551                          
Costilla                      0                             494                           0                             0                             0                             494                           661                           0                             0                             0                             661                           1155                          
Crowley                       0                             265                           0                             0                             0                             265                           714                           0                             0                             0                             714                           979                           
Custer                        0                             459                           0                             0                             0                             459                           1578                          0                             0                             0                             1578                          2037                          
Delta                         0                             2413                          0                             0                             0                             2413                          7377                          0                             0                             0                             7377                          9790                          
Denver                        0                             73167                         0                             0                             0                             73167                         65150                         0                             0                             0                             65150                         138317                        
Dolores                       0                             200                           0                             0                             0                             200                           543                           0                             0                             0                             543                           743                           
Douglas                       0                             29710                         0                             0                             0                             29710                         76773                         0                             0                             0                             76773                         106483                        
Eagle                         0                             4880                          0                             0                             0                             4880                          7283                          0                             0                             0                             7283                          12163                         
El Paso                       0                             40085                         0                             0                             0                             40085                         110154                        0                             0                             0                             110154                        150239                        
Elbert                        0                             1459                          0                             0                             0                             1459                          7663                          0                             0                             0                             7663                          9122                          
Fremont                       0                             4243                          0                             0                             0                             4243                          9549                          0                             0                             0                             9549                          13792                         
Garfield                      0                             4369                          0                             0                             0                             4369                          8849                          0                             0                             0                             8849                          13218                         
Gilpin                        0                             578                           0                             0                             0                             578                           1354                          0                             0                             0                             1354                          1932                          
Grand                         0                             1581                          0                             0                             0                             1581                          3606                          0                             0                             0                             3606                          5187                          
Gunnison                      0                             2193                          0                             0                             0                             2193                          2607                          0                             0                             0                             2607                          4800                          
Hinsdale                      0                             142                           0                             0                             0                             142                           260                           0                             0                             0                             260                           402                           
Huerfano                      0                             808                           0                             0                             0                             808                           1616                          0                             0                             0                             1616                          2424                          
Jackson                       0                             109                           0                             0                             0                             109                           485                           0                             0                             0                             485                           594                           
