County,Yes,No,Total,Registered_Voters,Ballots_Cast,Turnout
Adams,18573,40315,58888,234250,59750,0.255
Alamosa,1241,2227,3468,9280,3538,0.381
Arapahoe,36641,64180,100821,350900,102029,0.291
Archuleta,1026,2835,3861,9537,3929,0.412
Baca,485,937,1422,2857,1440,0.504
Bent,407,754,1161,2725,1166,0.428
Boulder,44371,36755,81126,228629,82501,0.361
Broomfield,4456,7843,12299,38799,12508,0.322
Chaffee,1636,4619,6255,12761,6286,0.493
Cheyenne,249,534,783,1450,792,0.546
Clear Creek,963,1685,2648,7578,2655,0.350
Conejos,811,1637,2448,5276,2520,0.478
Costilla,354,746,1100,2553,1143,0.448
Crowley,225,594,819,2150,1002,0.466
Custer,471,1193,1664,3410,1674,0.491
Delta,2221,5889,8110,20053,8233,0.411
Denver,46424,53272,99696,437273,109747,0.251
Dolores,164,408,572,1595,583,0.366
Douglas,23537,44209,67746,197263,68682,0.348
Eagle,4298,6205,10503,30781,10850,0.353
El Paso,33640,81766,115406,382084,116935,0.306
Elbert,1471,5383,6854,17735,6911,0.390
Fremont,2881,7630,10511,30767,10581,0.344
Garfield,4614,7155,11769,32797,11950,0.364
Gilpin,518,939,1457,5135,1462,0.285
Grand,1195,2949,4144,11844,4158,0.351
Gunnison,1634,2401,4035,12556,4066,0.324
Hinsdale,150,266,416,726,420,0.579
Huerfano,782,1456,2238,4731,2288,0.484
Jackson,158,348,506,1234,518,0.420
Jefferson,50453,82459,132912,385996,134242,0.348
Kiowa,162,433,595,1052,608,0.578
Kit Carson,860,1524,2384,4971,2417,0.486
La Plata,4475,6572,11047,38173,11248,0.295
Lake,492,887,1379,4597,1412,0.307
Larimer,32639,45301,77940,220426,80505,0.365
Las Animas,1200,2557,3757,9658,3873,0.401
Lincoln,384,972,1356,3112,1358,0.436
Logan,1546,3392,4938,11862,4998,0.421
Mesa,9656,28592,38248,100238,38514,0.384
Mineral,186,211,397,808,404,0.500
Moffat,640,2111,2751,8987,2784,0.310
Montezuma,2466,3658,6124,18325,6229,0.340
Montrose,2365,6535,8900,25786,9089,0.353
Morgan,1690,3880,5570,14567,5589,0.384
Otero,1269,2956,4225,11968,4315,0.361
Ouray,827,992,1819,4117,1836,0.446
Park,1066,3332,4398,12367,4402,0.356
Phillips,389,945,1334,3060,1348,0.441
Pitkin,2337,1748,4085,13957,4192,0.300
Prowers,672,1801,2473,6885,2512,0.365
Pueblo,11268,25977,37245,107018,38625,0.361
Rio Blanco,459,1313,1772,4421,1821,0.412
Rio Grande,763,1785,2548,7535,2609,0.346
Routt,3069,4663,7732,17677,7873,0.445
Saguache,513,921,1434,4126,1491,0.361
San Juan,86,164,250,623,254,0.408
San Miguel,822,767,1589,6208,1606,0.259
Sedgwick,258,600,858,1855,860,0.464
Summit,2009,2999,5008,23907,5066,0.212
Teller,1485,4577,6062,18702,6152,0.329
Washington,412,1116,1528,3218,1535,0.477
Weld,13344,28739,42083,149131,42937,0.288
Yuma,815,1835,2650,6157,2699,0.438
Total,386673,663444,1050117,3350219,1075720,0.321
